Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5747,50,blue-collar,married,primary,0,2610,1,1,unk0wn,20,may,181,6,-1,0,unk0wn,0
5748,30,blue-collar,single,secondary,0,178,1,0,unk0wn,20,may,747,5,-1,0,unk0wn,0
5749,34,blue-collar,married,unk0wn,0,1117,1,0,unk0wn,20,may,214,1,-1,0,unk0wn,0
5750,30,technician,divorced,secondary,0,4,1,0,unk0wn,20,may,270,1,-1,0,unk0wn,0
5751,38,unk0wn,married,unk0wn,0,124,1,0,unk0wn,20,may,37,13,-1,0,unk0wn,0
5752,55,blue-collar,married,primary,0,2144,1,0,unk0wn,20,may,129,8,-1,0,unk0wn,0
5753,31,services,single,tertiary,0,1025,0,0,unk0wn,20,may,72,3,-1,0,unk0wn,0
5754,41,blue-collar,married,primary,0,1250,1,0,unk0wn,20,may,1392,2,-1,0,unk0wn,1
5755,38,admin.,married,unk0wn,0,28,0,0,unk0wn,20,may,725,1,-1,0,unk0wn,0
5756,49,management,married,secondary,0,543,1,0,unk0wn,20,may,213,3,-1,0,unk0wn,0
5757,26,blue-collar,single,secondary,0,972,1,0,unk0wn,20,may,177,10,-1,0,unk0wn,0
5758,60,blue-collar,married,primary,0,674,1,0,unk0wn,20,may,273,4,-1,0,unk0wn,0
5759,57,blue-collar,married,secondary,0,258,1,0,unk0wn,20,may,480,4,-1,0,unk0wn,0
5760,37,blue-collar,single,unk0wn,0,3044,1,0,unk0wn,20,may,152,1,-1,0,unk0wn,0
5761,39,blue-collar,married,primary,0,-197,1,0,unk0wn,20,may,204,2,-1,0,unk0wn,0
5762,39,blue-collar,married,unk0wn,0,1096,0,0,unk0wn,20,may,246,3,-1,0,unk0wn,0
5763,57,services,divorced,secondary,0,739,1,0,unk0wn,20,may,352,5,-1,0,unk0wn,0
5764,35,blue-collar,married,secondary,0,274,1,0,unk0wn,20,may,190,1,-1,0,unk0wn,0
5765,30,blue-collar,married,secondary,0,1445,1,0,unk0wn,20,may,140,1,-1,0,unk0wn,0
5766,31,blue-collar,married,secondary,0,3311,1,0,unk0wn,20,may,719,1,-1,0,unk0wn,1
5767,32,blue-collar,married,secondary,0,157,1,0,unk0wn,20,may,315,1,-1,0,unk0wn,0
5768,30,services,single,unk0wn,0,347,1,0,unk0wn,21,may,225,1,-1,0,unk0wn,0
5769,32,management,single,tertiary,0,-345,1,0,unk0wn,21,may,74,1,-1,0,unk0wn,0
5770,36,technician,married,secondary,0,8119,0,0,unk0wn,21,may,24,1,-1,0,unk0wn,0
5771,34,blue-collar,married,secondary,0,120,1,0,unk0wn,21,may,369,1,-1,0,unk0wn,0
5772,39,blue-collar,married,primary,0,5,1,0,unk0wn,21,may,167,1,-1,0,unk0wn,0
5773,42,management,married,tertiary,0,2309,1,0,unk0wn,21,may,64,3,-1,0,unk0wn,0
5774,33,admin.,single,secondary,0,892,1,0,unk0wn,21,may,151,1,-1,0,unk0wn,0
5775,32,technician,married,secondary,0,641,1,0,unk0wn,21,may,336,1,-1,0,unk0wn,0
5776,35,blue-collar,married,primary,0,2730,1,0,unk0wn,21,may,65,1,-1,0,unk0wn,0
5777,38,blue-collar,married,secondary,0,1663,1,0,unk0wn,21,may,93,1,-1,0,unk0wn,0
5778,39,blue-collar,married,primary,0,1966,1,0,unk0wn,21,may,181,1,-1,0,unk0wn,0
5779,54,retired,divorced,tertiary,0,6102,1,1,unk0wn,21,may,86,6,-1,0,unk0wn,0
5780,38,technician,married,tertiary,0,1092,1,0,unk0wn,21,may,317,1,-1,0,unk0wn,0
5781,33,services,married,tertiary,0,1349,1,0,unk0wn,21,may,120,1,-1,0,unk0wn,0
5782,34,management,single,tertiary,0,2015,0,0,unk0wn,21,may,388,1,-1,0,unk0wn,0
5783,32,admin.,single,secondary,0,2146,1,0,unk0wn,21,may,422,2,-1,0,unk0wn,0
5784,32,management,married,tertiary,0,2976,1,0,unk0wn,21,may,174,1,-1,0,unk0wn,0
5785,37,admin.,divorced,secondary,0,3834,1,0,unk0wn,21,may,72,1,-1,0,unk0wn,0
5786,36,services,married,secondary,0,393,1,1,unk0wn,21,may,126,1,-1,0,unk0wn,0
5787,32,blue-collar,married,primary,0,-457,1,1,unk0wn,21,may,288,1,-1,0,unk0wn,0
5788,34,blue-collar,divorced,secondary,0,0,0,1,unk0wn,21,may,339,1,-1,0,unk0wn,0
5789,34,management,married,tertiary,0,363,0,0,unk0wn,21,may,171,5,-1,0,unk0wn,0
5790,39,management,single,tertiary,0,4025,1,1,unk0wn,21,may,162,1,-1,0,unk0wn,0
5791,42,blue-collar,married,primary,0,714,1,0,unk0wn,21,may,18,28,-1,0,unk0wn,0
5792,33,unemployed,married,secondary,0,438,1,1,unk0wn,21,may,129,1,-1,0,unk0wn,0
5793,40,management,single,primary,0,858,1,0,unk0wn,21,may,173,1,-1,0,unk0wn,0
5794,35,blue-collar,married,secondary,0,592,1,0,unk0wn,21,may,74,1,-1,0,unk0wn,0
5795,38,services,married,secondary,0,-224,1,1,unk0wn,21,may,222,1,-1,0,unk0wn,0
5796,39,management,married,tertiary,0,151,1,0,unk0wn,21,may,692,1,-1,0,unk0wn,0
5797,31,services,married,secondary,0,289,1,0,unk0wn,21,may,262,2,-1,0,unk0wn,0
5798,38,technician,married,secondary,0,821,1,1,unk0wn,21,may,78,1,-1,0,unk0wn,0
5799,58,technician,married,secondary,0,8153,1,0,unk0wn,21,may,134,5,-1,0,unk0wn,0
5800,33,services,married,secondary,0,57,1,1,unk0wn,21,may,323,1,-1,0,unk0wn,0
5801,34,blue-collar,single,secondary,0,558,1,0,unk0wn,21,may,43,1,-1,0,unk0wn,0
5802,34,services,single,secondary,0,1701,1,0,unk0wn,21,may,245,1,-1,0,unk0wn,0
5803,37,admin.,single,tertiary,0,-898,1,0,unk0wn,21,may,482,1,-1,0,unk0wn,0
5804,38,admin.,married,secondary,0,1073,1,0,unk0wn,21,may,207,2,-1,0,unk0wn,0
5805,34,management,divorced,tertiary,0,5754,1,0,unk0wn,21,may,56,1,-1,0,unk0wn,0
5806,34,blue-collar,married,primary,0,-167,1,0,unk0wn,21,may,201,1,-1,0,unk0wn,0
5807,39,blue-collar,married,primary,0,4146,1,1,unk0wn,21,may,353,1,-1,0,unk0wn,0
5808,35,entrepreneur,single,tertiary,0,-15,1,0,unk0wn,21,may,554,3,-1,0,unk0wn,0
5809,36,admin.,single,tertiary,0,3954,1,0,unk0wn,21,may,432,1,-1,0,unk0wn,0
5810,31,management,married,secondary,0,8629,1,0,unk0wn,21,may,27,2,-1,0,unk0wn,0
5811,30,technician,married,secondary,0,1168,1,1,unk0wn,21,may,361,1,-1,0,unk0wn,0
5812,35,admin.,married,secondary,0,498,1,0,unk0wn,21,may,248,1,-1,0,unk0wn,0
5813,35,technician,divorced,secondary,0,0,0,0,unk0wn,21,may,162,1,-1,0,unk0wn,0
5814,31,blue-collar,single,primary,0,216,1,0,unk0wn,21,may,565,1,-1,0,unk0wn,1
5815,38,management,single,tertiary,0,1746,1,0,unk0wn,21,may,139,1,-1,0,unk0wn,0
5816,36,technician,single,secondary,0,1053,1,0,unk0wn,21,may,147,1,-1,0,unk0wn,0
5817,36,student,single,tertiary,0,687,1,0,unk0wn,21,may,287,3,-1,0,unk0wn,0
5818,33,blue-collar,single,secondary,0,2764,1,0,unk0wn,21,may,118,1,-1,0,unk0wn,0
5819,34,blue-collar,married,secondary,0,1207,1,0,unk0wn,21,may,905,1,-1,0,unk0wn,1
5820,32,management,married,tertiary,0,0,1,0,unk0wn,21,may,91,1,-1,0,unk0wn,0
5821,39,blue-collar,divorced,unk0wn,0,528,1,0,unk0wn,21,may,111,5,-1,0,unk0wn,0
5822,33,management,married,tertiary,0,3090,1,0,unk0wn,21,may,162,1,-1,0,unk0wn,0
5823,38,technician,divorced,tertiary,1,-530,1,0,unk0wn,21,may,236,1,-1,0,unk0wn,0
5824,41,management,married,tertiary,0,666,1,0,unk0wn,21,may,253,3,-1,0,unk0wn,0
5825,38,technician,married,secondary,0,0,1,0,unk0wn,21,may,73,1,-1,0,unk0wn,0
5826,35,blue-collar,single,secondary,0,470,1,0,unk0wn,21,may,123,1,-1,0,unk0wn,0
5827,39,technician,married,secondary,0,597,1,0,unk0wn,21,may,298,2,-1,0,unk0wn,0
5828,40,blue-collar,married,primary,0,1136,1,0,unk0wn,21,may,86,1,-1,0,unk0wn,0
5829,38,blue-collar,married,secondary,0,620,1,1,unk0wn,21,may,420,1,-1,0,unk0wn,0
5830,33,blue-collar,single,secondary,0,17,1,0,unk0wn,21,may,288,1,-1,0,unk0wn,0
5831,34,services,married,secondary,0,12,0,0,unk0wn,21,may,164,1,-1,0,unk0wn,0
5832,28,entrepreneur,single,tertiary,0,135,1,0,unk0wn,21,may,195,1,-1,0,unk0wn,0
5833,36,services,married,secondary,0,5024,0,0,unk0wn,21,may,139,1,-1,0,unk0wn,0
5834,34,technician,single,secondary,0,1161,1,0,unk0wn,21,may,192,1,-1,0,unk0wn,0
5835,39,technician,married,secondary,0,3528,1,0,unk0wn,21,may,226,1,-1,0,unk0wn,0
5836,32,technician,married,secondary,0,791,1,0,unk0wn,21,may,783,2,-1,0,unk0wn,1
5837,38,management,married,unk0wn,0,546,1,0,unk0wn,21,may,264,2,-1,0,unk0wn,0
5838,39,blue-collar,married,secondary,0,804,1,0,unk0wn,21,may,166,1,-1,0,unk0wn,0
5839,30,technician,single,secondary,0,908,1,0,unk0wn,21,may,27,1,-1,0,unk0wn,0
5840,31,blue-collar,single,secondary,0,6982,1,0,unk0wn,21,may,353,1,-1,0,unk0wn,0
5841,37,technician,divorced,secondary,0,1176,0,1,unk0wn,21,may,282,2,-1,0,unk0wn,0
5842,36,admin.,married,secondary,0,0,0,0,unk0wn,21,may,117,1,-1,0,unk0wn,0
5843,34,blue-collar,married,secondary,0,528,1,0,unk0wn,21,may,85,1,-1,0,unk0wn,0
5844,37,admin.,married,unk0wn,0,734,1,0,unk0wn,21,may,1106,1,-1,0,unk0wn,0
5845,31,technician,single,secondary,0,109,1,0,unk0wn,21,may,419,1,-1,0,unk0wn,0
5846,48,self-employed,married,secondary,0,4746,1,0,unk0wn,21,may,32,11,-1,0,unk0wn,0
5847,31,services,married,secondary,0,11512,1,0,unk0wn,21,may,179,1,-1,0,unk0wn,0
5848,34,services,married,secondary,0,0,1,0,unk0wn,21,may,872,5,-1,0,unk0wn,0
5849,36,services,married,secondary,0,115,0,0,unk0wn,21,may,114,1,-1,0,unk0wn,0
5850,36,management,single,tertiary,0,808,0,0,unk0wn,21,may,52,1,-1,0,unk0wn,0
5851,35,management,single,tertiary,0,-289,1,0,unk0wn,21,may,490,1,-1,0,unk0wn,0
5852,35,self-employed,married,tertiary,0,35368,1,0,unk0wn,21,may,63,1,-1,0,unk0wn,0
5853,33,services,single,secondary,0,189,0,0,unk0wn,21,may,27,10,-1,0,unk0wn,0
5854,26,blue-collar,married,primary,0,0,1,0,unk0wn,21,may,425,1,-1,0,unk0wn,0
5855,37,entrepreneur,married,tertiary,0,1110,1,0,unk0wn,21,may,189,2,-1,0,unk0wn,0
5856,32,technician,married,unk0wn,0,102,1,0,unk0wn,21,may,12,11,-1,0,unk0wn,0
5857,33,management,married,secondary,0,56,1,0,unk0wn,21,may,255,1,-1,0,unk0wn,0
5858,34,blue-collar,married,secondary,0,405,1,0,unk0wn,21,may,103,1,-1,0,unk0wn,0
5859,36,management,married,secondary,0,873,1,0,unk0wn,21,may,210,1,-1,0,unk0wn,0
5860,36,technician,single,secondary,0,656,0,0,unk0wn,21,may,261,1,-1,0,unk0wn,0
5861,41,technician,married,secondary,0,2490,1,0,unk0wn,21,may,115,2,-1,0,unk0wn,0
5862,33,admin.,single,secondary,0,1437,1,0,unk0wn,21,may,641,1,-1,0,unk0wn,0
5863,35,management,single,tertiary,0,6659,1,0,unk0wn,21,may,83,1,-1,0,unk0wn,0
5864,30,technician,married,tertiary,0,1126,1,0,unk0wn,21,may,370,1,-1,0,unk0wn,0
5865,34,blue-collar,single,secondary,0,3773,1,0,unk0wn,21,may,287,1,-1,0,unk0wn,0
5866,34,self-employed,single,tertiary,0,1129,1,0,unk0wn,21,may,103,2,-1,0,unk0wn,0
5867,36,management,married,tertiary,0,849,1,1,unk0wn,21,may,958,2,-1,0,unk0wn,1
5868,30,services,married,secondary,0,675,1,0,unk0wn,21,may,232,1,-1,0,unk0wn,0
5869,36,admin.,single,secondary,0,98,1,0,unk0wn,21,may,68,1,-1,0,unk0wn,0
5870,31,blue-collar,married,secondary,0,1914,1,0,unk0wn,21,may,192,1,-1,0,unk0wn,0
5871,34,services,married,secondary,0,1270,1,0,unk0wn,21,may,494,3,-1,0,unk0wn,0
5872,30,entrepreneur,married,primary,0,-98,1,0,unk0wn,21,may,166,7,-1,0,unk0wn,0
5873,33,blue-collar,married,primary,0,256,1,0,unk0wn,21,may,151,2,-1,0,unk0wn,0
5874,31,blue-collar,married,secondary,0,435,1,0,unk0wn,21,may,204,1,-1,0,unk0wn,0
5875,37,unemployed,married,primary,0,7005,1,0,unk0wn,21,may,217,1,-1,0,unk0wn,0
5876,38,services,single,primary,0,471,1,0,unk0wn,21,may,180,1,-1,0,unk0wn,0
5877,33,blue-collar,married,secondary,0,467,1,0,unk0wn,21,may,494,2,-1,0,unk0wn,0
5878,32,blue-collar,married,primary,0,323,1,0,unk0wn,21,may,530,2,-1,0,unk0wn,0
5879,34,management,single,tertiary,0,0,1,0,unk0wn,21,may,759,1,-1,0,unk0wn,0
5880,31,management,married,tertiary,0,1343,1,1,unk0wn,21,may,85,1,-1,0,unk0wn,0
5881,51,blue-collar,divorced,secondary,0,44,0,0,unk0wn,21,may,137,2,-1,0,unk0wn,0
5882,30,blue-collar,married,primary,0,453,1,0,unk0wn,21,may,445,2,-1,0,unk0wn,0
5883,35,entrepreneur,married,secondary,0,350,1,0,unk0wn,21,may,345,1,-1,0,unk0wn,0
5884,32,technician,married,secondary,0,2693,1,0,unk0wn,21,may,16,1,-1,0,unk0wn,0
5885,31,blue-collar,married,secondary,0,1243,1,0,unk0wn,21,may,32,1,-1,0,unk0wn,0
5886,34,technician,married,secondary,0,883,1,0,unk0wn,21,may,648,1,-1,0,unk0wn,0
5887,33,blue-collar,single,primary,0,599,1,0,unk0wn,21,may,29,1,-1,0,unk0wn,0
5888,31,blue-collar,married,secondary,0,3176,1,0,unk0wn,21,may,220,1,-1,0,unk0wn,0
5889,33,technician,single,secondary,0,49,0,0,unk0wn,21,may,151,1,-1,0,unk0wn,0
5890,36,blue-collar,divorced,primary,0,3202,1,0,unk0wn,21,may,290,2,-1,0,unk0wn,0
5891,33,technician,single,secondary,0,2660,1,0,unk0wn,21,may,121,1,-1,0,unk0wn,0
5892,59,retired,married,primary,0,41,1,1,unk0wn,21,may,717,3,-1,0,unk0wn,0
5893,35,blue-collar,married,secondary,0,-557,1,1,unk0wn,21,may,249,1,-1,0,unk0wn,0
5894,33,management,married,tertiary,0,741,0,0,unk0wn,21,may,228,1,-1,0,unk0wn,0
5895,32,technician,single,secondary,0,930,1,0,unk0wn,21,may,122,1,-1,0,unk0wn,0
5896,23,blue-collar,single,secondary,0,9,1,0,unk0wn,21,may,544,1,-1,0,unk0wn,0
5897,33,blue-collar,married,secondary,0,1624,1,1,unk0wn,21,may,951,2,-1,0,unk0wn,0
5898,30,blue-collar,single,secondary,1,239,1,0,unk0wn,21,may,412,1,-1,0,unk0wn,1
5899,31,admin.,single,secondary,0,626,1,0,unk0wn,21,may,211,1,-1,0,unk0wn,0
5900,25,services,single,secondary,0,-268,1,0,unk0wn,21,may,264,1,-1,0,unk0wn,0
5901,37,technician,single,tertiary,0,178,1,0,unk0wn,21,may,97,1,-1,0,unk0wn,0
5902,34,admin.,married,secondary,0,1671,0,0,unk0wn,21,may,160,1,-1,0,unk0wn,0
5903,29,blue-collar,divorced,secondary,0,-300,0,0,unk0wn,21,may,192,1,-1,0,unk0wn,0
5904,35,technician,single,tertiary,0,1362,1,0,unk0wn,21,may,230,1,-1,0,unk0wn,0
5905,31,technician,divorced,tertiary,0,2287,1,0,unk0wn,21,may,97,1,-1,0,unk0wn,0
5906,33,blue-collar,married,primary,0,141,1,0,unk0wn,21,may,578,2,-1,0,unk0wn,0
5907,31,technician,married,tertiary,0,4315,1,0,unk0wn,21,may,359,1,-1,0,unk0wn,0
5908,28,services,single,unk0wn,0,-70,1,1,unk0wn,21,may,244,1,-1,0,unk0wn,0
5909,33,technician,married,secondary,0,1630,1,0,unk0wn,21,may,111,1,-1,0,unk0wn,0
5910,35,technician,married,secondary,0,569,1,0,unk0wn,21,may,487,5,-1,0,unk0wn,0
5911,34,management,single,tertiary,0,0,1,0,unk0wn,21,may,311,1,-1,0,unk0wn,0
5912,30,blue-collar,single,primary,0,546,1,0,unk0wn,21,may,396,1,-1,0,unk0wn,0
5913,32,technician,single,secondary,0,287,1,0,unk0wn,21,may,59,8,-1,0,unk0wn,0
5914,37,services,married,secondary,1,-954,1,0,unk0wn,21,may,111,3,-1,0,unk0wn,0
5915,35,entrepreneur,married,tertiary,0,280,1,0,unk0wn,21,may,502,1,-1,0,unk0wn,0
5916,57,retired,married,secondary,0,1408,0,0,unk0wn,21,may,202,6,-1,0,unk0wn,0
5917,37,technician,single,secondary,0,1211,1,0,unk0wn,21,may,795,1,-1,0,unk0wn,1
5918,27,blue-collar,married,secondary,0,1600,1,0,unk0wn,21,may,135,1,-1,0,unk0wn,0
5919,39,blue-collar,married,primary,0,774,1,0,unk0wn,21,may,29,1,-1,0,unk0wn,0
5920,33,management,married,tertiary,0,188,1,0,unk0wn,21,may,136,1,-1,0,unk0wn,0
5921,34,services,single,secondary,0,1157,1,0,unk0wn,21,may,103,2,-1,0,unk0wn,0
5922,40,blue-collar,single,secondary,0,1066,1,0,unk0wn,21,may,171,1,-1,0,unk0wn,0
5923,31,blue-collar,married,secondary,0,932,1,0,unk0wn,21,may,229,2,-1,0,unk0wn,0
5924,32,blue-collar,single,primary,0,557,1,0,unk0wn,21,may,112,2,-1,0,unk0wn,0
5925,31,management,married,tertiary,0,1260,0,1,unk0wn,21,may,93,1,-1,0,unk0wn,0
5926,35,management,single,tertiary,0,1045,1,0,unk0wn,21,may,61,1,-1,0,unk0wn,0
5927,38,blue-collar,single,primary,0,350,1,0,unk0wn,21,may,35,1,-1,0,unk0wn,0
5928,48,technician,divorced,tertiary,0,-136,1,0,unk0wn,21,may,7,12,-1,0,unk0wn,0
5929,37,services,married,secondary,0,405,1,0,unk0wn,21,may,51,2,-1,0,unk0wn,0
5930,45,admin.,married,secondary,0,373,1,0,unk0wn,21,may,17,7,-1,0,unk0wn,0
5931,27,blue-collar,single,secondary,0,0,1,0,unk0wn,21,may,504,1,-1,0,unk0wn,0
5932,33,admin.,married,secondary,0,2228,1,0,unk0wn,21,may,726,1,-1,0,unk0wn,0
5933,31,blue-collar,single,secondary,0,58,1,0,unk0wn,21,may,542,1,-1,0,unk0wn,0
5934,33,blue-collar,married,secondary,0,932,1,0,unk0wn,21,may,226,1,-1,0,unk0wn,0
5935,36,unemployed,married,secondary,0,-872,1,1,unk0wn,21,may,153,1,-1,0,unk0wn,0
5936,37,technician,married,secondary,0,1450,1,1,unk0wn,21,may,112,1,-1,0,unk0wn,0
5937,37,blue-collar,single,secondary,0,2032,1,0,unk0wn,21,may,158,2,-1,0,unk0wn,0
5938,32,technician,single,tertiary,0,0,1,0,unk0wn,21,may,250,2,-1,0,unk0wn,0
5939,30,services,married,tertiary,0,1380,1,0,unk0wn,21,may,294,2,-1,0,unk0wn,0
5940,37,technician,married,secondary,0,5729,1,0,unk0wn,21,may,303,3,-1,0,unk0wn,0
5941,34,technician,single,secondary,0,951,1,0,unk0wn,21,may,343,1,-1,0,unk0wn,0
5942,54,management,divorced,tertiary,0,487,1,0,unk0wn,21,may,828,4,-1,0,unk0wn,1
5943,36,admin.,married,secondary,0,957,1,0,unk0wn,21,may,206,1,-1,0,unk0wn,0
5944,39,retired,married,tertiary,0,855,1,0,unk0wn,21,may,786,2,-1,0,unk0wn,0
5945,36,management,married,tertiary,0,502,1,0,unk0wn,21,may,509,1,-1,0,unk0wn,0
5946,37,blue-collar,married,primary,0,204,1,0,unk0wn,21,may,161,4,-1,0,unk0wn,0
5947,49,blue-collar,divorced,primary,0,2262,1,0,unk0wn,21,may,125,3,-1,0,unk0wn,0
5948,31,admin.,married,secondary,0,8784,1,0,unk0wn,21,may,63,2,-1,0,unk0wn,0
5949,36,blue-collar,married,primary,0,599,1,0,unk0wn,21,may,649,2,-1,0,unk0wn,1
5950,31,services,married,secondary,0,525,1,1,unk0wn,21,may,159,1,-1,0,unk0wn,0
5951,29,admin.,married,secondary,0,688,1,0,unk0wn,21,may,211,1,-1,0,unk0wn,0
5952,34,management,single,tertiary,0,1350,1,0,unk0wn,21,may,68,1,-1,0,unk0wn,0
5953,32,technician,married,secondary,0,1830,1,0,unk0wn,21,may,293,1,-1,0,unk0wn,0
5954,31,technician,single,tertiary,0,1887,0,1,unk0wn,21,may,389,1,-1,0,unk0wn,0
5955,37,blue-collar,single,secondary,0,13156,1,0,unk0wn,21,may,240,1,-1,0,unk0wn,0
5956,34,blue-collar,married,secondary,0,622,1,0,unk0wn,21,may,145,1,-1,0,unk0wn,0
5957,35,management,married,tertiary,0,1336,0,0,unk0wn,21,may,59,2,-1,0,unk0wn,0
5958,32,blue-collar,single,secondary,0,1067,1,0,unk0wn,21,may,39,2,-1,0,unk0wn,0
5959,35,entrepreneur,single,secondary,0,12961,1,0,unk0wn,21,may,272,2,-1,0,unk0wn,0
5960,31,technician,married,secondary,0,141,1,0,unk0wn,21,may,140,2,-1,0,unk0wn,0
5961,41,management,single,tertiary,0,1216,1,0,unk0wn,21,may,53,3,-1,0,unk0wn,0
5962,31,services,married,secondary,0,891,1,0,unk0wn,21,may,44,3,-1,0,unk0wn,0
5963,32,blue-collar,married,primary,0,131,1,0,unk0wn,21,may,212,2,-1,0,unk0wn,0
5964,33,technician,married,primary,0,5,0,0,unk0wn,21,may,57,2,-1,0,unk0wn,0
5965,52,blue-collar,married,secondary,0,289,1,0,unk0wn,21,may,45,13,-1,0,unk0wn,0
5966,32,blue-collar,single,secondary,0,15341,0,0,unk0wn,21,may,738,3,-1,0,unk0wn,0
5967,32,technician,married,secondary,0,901,1,0,unk0wn,21,may,102,3,-1,0,unk0wn,0
5968,32,entrepreneur,married,tertiary,0,4465,1,0,unk0wn,21,may,161,2,-1,0,unk0wn,0
5969,34,admin.,married,secondary,0,1191,1,0,unk0wn,21,may,383,2,-1,0,unk0wn,0
5970,35,technician,single,tertiary,0,458,1,0,unk0wn,21,may,1091,3,-1,0,unk0wn,0
5971,36,management,single,tertiary,0,1869,1,0,unk0wn,21,may,122,2,-1,0,unk0wn,0
5972,37,self-employed,married,tertiary,0,2084,1,0,unk0wn,21,may,137,2,-1,0,unk0wn,0
5973,32,technician,married,secondary,0,1389,1,0,unk0wn,21,may,189,2,-1,0,unk0wn,0
5974,34,management,married,tertiary,0,0,1,0,unk0wn,21,may,88,2,-1,0,unk0wn,0
5975,27,services,married,secondary,0,1303,1,1,unk0wn,21,may,364,1,-1,0,unk0wn,0
5976,33,management,married,tertiary,0,11149,1,0,unk0wn,21,may,418,2,-1,0,unk0wn,0
5977,36,management,married,unk0wn,0,-35,1,1,unk0wn,21,may,17,2,-1,0,unk0wn,0
5978,37,blue-collar,married,primary,0,3242,1,0,unk0wn,21,may,233,1,-1,0,unk0wn,0
5979,32,blue-collar,single,secondary,0,435,1,0,unk0wn,21,may,373,2,-1,0,unk0wn,0
5980,32,blue-collar,single,secondary,0,2696,1,0,unk0wn,21,may,445,1,-1,0,unk0wn,0
5981,29,blue-collar,single,secondary,0,0,0,0,unk0wn,21,may,623,1,-1,0,unk0wn,0
5982,34,blue-collar,married,primary,0,218,1,1,unk0wn,21,may,260,1,-1,0,unk0wn,0
5983,33,self-employed,divorced,secondary,0,892,1,0,unk0wn,21,may,316,1,-1,0,unk0wn,0
5984,31,technician,married,tertiary,0,1410,1,0,unk0wn,21,may,42,1,-1,0,unk0wn,0
5985,32,blue-collar,single,secondary,0,1721,1,0,unk0wn,21,may,650,2,-1,0,unk0wn,0
5986,31,admin.,single,tertiary,0,1583,1,0,unk0wn,21,may,207,1,-1,0,unk0wn,0
5987,33,technician,single,secondary,0,296,1,0,unk0wn,21,may,226,1,-1,0,unk0wn,0
5988,38,management,married,tertiary,0,216,1,0,unk0wn,21,may,1307,1,-1,0,unk0wn,0
5989,35,blue-collar,married,secondary,0,463,1,0,unk0wn,21,may,104,1,-1,0,unk0wn,0
5990,37,management,married,tertiary,0,547,1,1,unk0wn,21,may,143,1,-1,0,unk0wn,0
5991,42,technician,divorced,secondary,0,2974,1,0,unk0wn,21,may,187,5,-1,0,unk0wn,0
5992,34,self-employed,married,secondary,0,-370,1,0,unk0wn,21,may,748,1,-1,0,unk0wn,0
5993,32,management,married,secondary,0,6217,1,1,unk0wn,21,may,486,2,-1,0,unk0wn,0
5994,28,admin.,married,secondary,0,170,1,1,unk0wn,21,may,492,1,-1,0,unk0wn,0
5995,29,management,married,secondary,0,-559,1,1,unk0wn,21,may,485,1,-1,0,unk0wn,0
5996,21,student,single,secondary,0,232,1,0,unk0wn,21,may,110,2,-1,0,unk0wn,0
5997,31,management,single,tertiary,0,385,1,0,unk0wn,21,may,304,1,-1,0,unk0wn,0
5998,34,blue-collar,married,secondary,0,5304,1,0,unk0wn,21,may,51,2,-1,0,unk0wn,0
5999,35,management,single,tertiary,0,71,1,0,unk0wn,21,may,836,12,-1,0,unk0wn,0
6000,32,technician,single,unk0wn,0,317,1,0,unk0wn,21,may,394,2,-1,0,unk0wn,0
6001,32,management,single,tertiary,0,728,1,0,unk0wn,21,may,125,1,-1,0,unk0wn,0
6002,38,services,married,tertiary,0,-121,1,0,unk0wn,21,may,288,1,-1,0,unk0wn,0
6003,29,management,single,tertiary,0,330,1,0,unk0wn,21,may,315,1,-1,0,unk0wn,0
6004,31,management,single,tertiary,0,825,1,0,unk0wn,21,may,506,2,-1,0,unk0wn,1
6005,36,management,single,tertiary,0,247,0,0,unk0wn,21,may,354,5,-1,0,unk0wn,0
6006,30,technician,divorced,secondary,0,3100,1,0,unk0wn,21,may,154,4,-1,0,unk0wn,0
6007,33,self-employed,married,tertiary,0,1301,1,0,unk0wn,21,may,184,2,-1,0,unk0wn,0
6008,32,blue-collar,married,primary,0,29050,1,1,unk0wn,21,may,563,2,-1,0,unk0wn,0
6009,27,blue-collar,single,secondary,0,1279,1,1,unk0wn,21,may,450,1,-1,0,unk0wn,0
6010,38,self-employed,married,tertiary,0,585,1,0,unk0wn,21,may,34,3,-1,0,unk0wn,0
6011,38,management,married,tertiary,0,63,1,0,unk0wn,21,may,518,1,-1,0,unk0wn,0
6012,28,unemployed,married,secondary,0,858,1,0,unk0wn,21,may,371,1,-1,0,unk0wn,0
6013,40,services,divorced,secondary,0,0,0,0,unk0wn,21,may,111,4,-1,0,unk0wn,0
6014,34,services,single,secondary,0,581,1,0,unk0wn,21,may,176,4,-1,0,unk0wn,0
6015,28,technician,single,secondary,0,2034,1,0,unk0wn,21,may,196,1,-1,0,unk0wn,0
6016,35,technician,married,secondary,0,1,1,1,unk0wn,21,may,85,1,-1,0,unk0wn,0
6017,38,self-employed,single,secondary,0,1146,1,0,unk0wn,21,may,91,2,-1,0,unk0wn,0
6018,34,technician,single,secondary,0,1091,1,0,unk0wn,21,may,252,2,-1,0,unk0wn,0
6019,43,housemaid,married,secondary,0,-177,1,0,unk0wn,21,may,172,2,-1,0,unk0wn,0
6020,30,management,married,tertiary,0,527,1,1,unk0wn,21,may,265,1,-1,0,unk0wn,0
